instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
77,caption canal Ref neat rencontre freeAugust,464,0.11328125,0,0,0,0,0,7.110150337219238,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,337,5,15,2.9.1+cu128,4.57.3
78,captioncache Ref neat rencontre freeAugust,2241,0.547119140625,0,0,0,0,0,35.924198627471924,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,338,5,15,2.9.1+cu128,4.57.3
79,caption collection Ref neatwyAboutAugust,7321,1.787353515625,0,1,0,0,0,142.47005009651184,1,0,0,0,0,microsoft/Phi-3-mini-4k-instruct,339,5,15,2.9.1+cu128,4.57.3
80,twice parse Ref neatgilookAugust,933,0.227783203125,0,0,0,0,0,13.772231817245483,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,340,5,15,2.9.1+cu128,4.57.3
81,caption recursive Ref neat rencontre freeAugust,773,0.188720703125,0,0,0,0,0,11.40886664390564,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,341,5,15,2.9.1+cu128,4.57.3
82,twicecache Ref neatgiAboutAugust,152,0.037109375,0,0,0,0,0,2.2365353107452393,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,342,5,15,2.9.1+cu128,4.57.3
83,caption recursive Ref neatwyAboutAugust,4861,1.186767578125,0,0,0,0,0,90.16470313072205,1,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,343,5,15,2.9.1+cu128,4.57.3
84,captioncache Ref neatwyAboutAugust,584,0.142578125,0,0,0,0,0,8.621635913848877,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,344,5,15,2.9.1+cu128,4.57.3
85,caption collection Ref neat tomAboutAugust,767,0.187255859375,0,0,0,0,0,11.359750509262085,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,345,5,15,2.9.1+cu128,4.57.3
86,caption collection RefbranchwyAboutAugust,80,0.01953125,0,0,0,0,0,1.1800062656402588,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,346,5,15,2.9.1+cu128,4.57.3
87,caption collection Ref neatgilookAugust,1050,0.25634765625,0,0,0,0,0,15.547061443328857,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,347,5,15,2.9.1+cu128,4.57.3
88,caption collection Refbranch tomAboutAugust,964,0.2353515625,0,0,0,0,0,14.262647151947021,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,348,5,15,2.9.1+cu128,4.57.3
89,twice parse struggle neat tomAboutAugust,417,0.101806640625,0,0,0,0,0,6.1297688484191895,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,349,5,15,2.9.1+cu128,4.57.3
