instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
213,Bog cos Snowanger predict IngAugust,1478,0.36083984375,0,0,0,0,0,22.23647451400757,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,691,11,15,2.9.1+cu128,4.57.3
214,Bog Social red stir kindly TechnologyAugust,5133,1.253173828125,0,0,0,0,0,96.49668645858765,1,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,692,11,15,2.9.1+cu128,4.57.3
215,Bog coszipS kindly TechnologyAugust,11151,2.722412109375,0,0,0,0,0,222.26605010032654,1,1,0,1,0,microsoft/Phi-3-mini-4k-instruct,693,11,15,2.9.1+cu128,4.57.3
216,Bog eventuallyzip ownpatlaxAugust,293,0.071533203125,0,0,0,0,0,4.256320953369141,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,694,11,15,2.9.1+cu128,4.57.3
217,Bog coszipadinpatlaxAugust,3770,0.92041015625,0,0,0,0,0,66.99616026878357,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,695,11,15,2.9.1+cu128,4.57.3
0,Bog eventuallyzip thankspatlaxAugust,97,0.023681640625,0,0,0,0,0,1.4085392951965332,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,696,11,15,2.9.1+cu128,4.57.3
1,Bog elementzipadin predict IngAugust,2781,0.678955078125,0,0,0,0,0,46.3727023601532,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,697,11,15,2.9.1+cu128,4.57.3
2,Bog Socialzip thankspatlaxAugust,2568,0.626953125,0,0,0,0,0,41.946332931518555,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,698,11,15,2.9.1+cu128,4.57.3
3,Bog eventuallyzip AR kindly TechnologyAugust,223,0.054443359375,0,0,0,0,0,3.234137535095215,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,699,11,15,2.9.1+cu128,4.57.3
4,Bog coszip ownpatlaxAugust,3989,0.973876953125,0,0,0,0,0,71.7345142364502,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,700,11,15,2.9.1+cu128,4.57.3
5,Bog eventuallyzipopatlaxAugust,1058,0.25830078125,0,0,0,0,0,15.509267091751099,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,701,11,15,2.9.1+cu128,4.57.3
6,Bog elementzip thankspatlaxAugust,16384,4.0,1,1,0,0,0,332.28776240348816,1,1,1,0,1,microsoft/Phi-3-mini-4k-instruct,702,11,15,2.9.1+cu128,4.57.3
7,Bog elementzipadinpat ConfigurationAugust,237,0.057861328125,0,0,0,0,0,3.442887544631958,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,703,11,15,2.9.1+cu128,4.57.3
8,human eventuallyzip thankspatlaxAugust,587,0.143310546875,0,0,0,0,0,8.53089427947998,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,704,11,15,2.9.1+cu128,4.57.3
9,Bog SocialzipadinpatlaxAugust,260,0.0634765625,0,0,0,0,0,3.780606746673584,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,705,11,15,2.9.1+cu128,4.57.3
10,Bog coszip reasonpatlaxAugust,288,0.0703125,0,0,0,0,0,4.1826348304748535,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,706,11,15,2.9.1+cu128,4.57.3
11,Bog Socialzipadinpat routingAugust,628,0.1533203125,0,0,0,0,0,9.177769899368286,0,0,0,0,0,microsoft/Phi-3-mini-4k-instruct,707,11,15,2.9.1+cu128,4.57.3
12,Bog elementzipadinpatlaxAugust,16384,4.0,1,1,0,0,1,332.5268540382385,1,1,1,0,1,microsoft/Phi-3-mini-4k-instruct,708,11,15,2.9.1+cu128,4.57.3
13,human eventuallyzipadinpatlaxAugust,684,0.1669921875,0,0,0,0,0,9.967820405960083,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,709,11,15,2.9.1+cu128,4.57.3
14,Bog pressurezipadinpatlaxAugust,43,0.010498046875,0,0,0,0,0,0.6211385726928711,0,0,0,1,0,microsoft/Phi-3-mini-4k-instruct,710,11,15,2.9.1+cu128,4.57.3
