instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
32,In nutrient poorlybearing,7813,1.907470703125,0,1,0,0,0,223.7543215751648,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,74,1,15,2.9.1+cu128,4.57.3
33,De nutrient attachbearing,261,0.063720703125,0,0,0,0,0,5.718019485473633,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,75,1,15,2.9.1+cu128,4.57.3
34,In nutrient usuallybearing,98,0.02392578125,0,0,0,0,0,2.123770236968994,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,76,1,15,2.9.1+cu128,4.57.3
35,In nutrient poorlydeliver,2298,0.56103515625,0,0,0,0,0,53.32183480262756,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,77,1,15,2.9.1+cu128,4.57.3
36,doctrine nutrient attachpermitted,882,0.21533203125,0,0,0,0,0,19.653796911239624,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,78,1,15,2.9.1+cu128,4.57.3
37,In Jeffrey attachbearing,16,0.00390625,0,0,0,0,0,0.35016584396362305,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,79,1,15,2.9.1+cu128,4.57.3
38,doctrine nutrient attachHu,1497,0.365478515625,0,0,0,0,0,33.88480234146118,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,80,1,15,2.9.1+cu128,4.57.3
39,In nutrient attachHu,85,0.020751953125,0,0,0,0,0,1.8471593856811523,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,81,1,15,2.9.1+cu128,4.57.3
40,In nutrientRICbearing,97,0.023681640625,0,0,0,0,0,2.108295202255249,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,82,1,15,2.9.1+cu128,4.57.3
41,Ingrammar attachbearing,158,0.03857421875,0,0,0,0,0,3.4423317909240723,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,83,1,15,2.9.1+cu128,4.57.3
42,In nutrientbadbearing,468,0.1142578125,0,0,0,0,0,10.276144981384277,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,84,1,15,2.9.1+cu128,4.57.3
43,In nutrient attach scratches,7,0.001708984375,0,0,0,0,0,0.15737485885620117,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,85,1,15,2.9.1+cu128,4.57.3
44,In Jeffrey attach nan,196,0.0478515625,0,0,0,0,0,4.283778429031372,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,86,1,15,2.9.1+cu128,4.57.3
45,In nutrient attach nan,7508,1.8330078125,0,1,0,0,0,211.07393836975098,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,87,1,15,2.9.1+cu128,4.57.3
46,In nutrient attach Chapman,1619,0.395263671875,0,0,0,0,0,36.77255630493164,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,88,1,15,2.9.1+cu128,4.57.3
47,In nutrientRIC Chapman,743,0.181396484375,0,0,0,0,0,16.477159023284912,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,89,1,15,2.9.1+cu128,4.57.3
48,In Finance attachbearing,399,0.097412109375,0,0,0,0,0,8.752228498458862,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,90,1,15,2.9.1+cu128,4.57.3
49,In nutrient attach adjourn,992,0.2421875,0,0,0,0,0,22.14363408088684,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,91,1,15,2.9.1+cu128,4.57.3
50,In Finance contradictorybearing,4639,1.132568359375,0,1,0,0,0,116.30941414833069,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,92,1,15,2.9.1+cu128,4.57.3
51,assumed nutrient attach Chapman,4377,1.068603515625,0,1,0,0,0,108.5752010345459,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,93,1,15,2.9.1+cu128,4.57.3
52,assumed nutrient attach aria,68,0.0166015625,0,0,0,0,0,1.4777495861053467,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,94,1,15,2.9.1+cu128,4.57.3
53,In nutrient contradictorybearing,2191,0.534912109375,0,0,0,0,0,50.648919343948364,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,95,1,15,2.9.1+cu128,4.57.3
54,waist nutrient contradictorybearing,1,0.000244140625,0,0,0,0,0,0.0283353328704834,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,96,1,15,2.9.1+cu128,4.57.3
55,In nutrientOPTbearing,4352,1.0625,0,1,0,0,0,108.12999773025513,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,97,1,15,2.9.1+cu128,4.57.3
56,In mummy attachbearing,1714,0.41845703125,0,0,0,0,0,38.99903607368469,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,98,1,15,2.9.1+cu128,4.57.3
57,waist nutrient attachbearing,11883,2.901123046875,0,1,0,0,0,394.3642907142639,1,1,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,99,1,15,2.9.1+cu128,4.57.3
58,In mummyOPTbearing,5264,1.28515625,0,1,0,0,0,135.4712691307068,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,100,1,15,2.9.1+cu128,4.57.3
59,In mummy attach legion,4379,1.069091796875,0,1,0,0,0,108.60155010223389,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,101,1,15,2.9.1+cu128,4.57.3
