instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
6,In nutrientContactbearing,2835,0.692138671875,0,0,0,0,0,66.75849676132202,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,266,7,15,2.9.1+cu128,4.57.3
7,regent nutrientOPTbearing,2129,0.519775390625,0,0,0,0,0,48.816248655319214,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,267,7,15,2.9.1+cu128,4.57.3
8,Lone nutrientOPTbearing,4414,1.07763671875,0,1,0,0,0,109.2634208202362,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,268,7,15,2.9.1+cu128,4.57.3
9,In nutrientOPT passer,433,0.105712890625,0,0,0,0,0,9.480850458145142,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,269,7,15,2.9.1+cu128,4.57.3
10,vibration nutrientOPTbearing,679,0.165771484375,0,0,0,0,0,14.977416038513184,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,270,7,15,2.9.1+cu128,4.57.3
11,In nutrient Querybearing,8342,2.03662109375,0,1,0,0,0,242.88631439208984,1,1,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,271,7,15,2.9.1+cu128,4.57.3
12,In nutrientOPT Nowadays,624,0.15234375,0,0,0,0,0,13.744072914123535,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,272,7,15,2.9.1+cu128,4.57.3
13,Race nutrientOPTbearing,1096,0.267578125,0,0,0,0,0,24.497938871383667,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,273,7,15,2.9.1+cu128,4.57.3
14,In nutrientindependentbearing,1601,0.390869140625,0,0,0,0,0,36.2416615486145,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,274,7,15,2.9.1+cu128,4.57.3
15,Conflict nutrientOPTbearing,10881,2.656494140625,0,1,0,0,0,347.2552194595337,1,1,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,275,7,15,2.9.1+cu128,4.57.3
16,In alluringOPTbearing,2916,0.7119140625,0,0,0,0,0,68.94547510147095,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,276,7,15,2.9.1+cu128,4.57.3
17,InacleOPTbearing,2568,0.626953125,0,0,0,0,0,60.10277342796326,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,277,7,15,2.9.1+cu128,4.57.3
18,In HOSTOPTbearing,3646,0.89013671875,0,0,0,0,0,88.26787686347961,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,278,7,15,2.9.1+cu128,4.57.3
19,In nutrient Sussexbearing,190,0.04638671875,0,0,0,0,0,4.157889127731323,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,279,7,15,2.9.1+cu128,4.57.3
20,In nutrientOPT percolation,3143,0.767333984375,0,0,0,0,0,74.7820131778717,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,280,7,15,2.9.1+cu128,4.57.3
21,In perseveranceOPTbearing,438,0.10693359375,0,0,0,0,0,9.622933626174927,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,281,7,15,2.9.1+cu128,4.57.3
22,Mult nutrientOPTbearing,440,0.107421875,0,0,0,0,0,9.630788803100586,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,282,7,15,2.9.1+cu128,4.57.3
23,In WHEREOPTbearing,308,0.0751953125,0,0,0,0,0,6.78290057182312,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,283,7,15,2.9.1+cu128,4.57.3
24,In vOPTbearing,557,0.135986328125,0,0,0,0,0,12.300196409225464,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,284,7,15,2.9.1+cu128,4.57.3
25,In nutrientOPT greedy,3523,0.860107421875,0,0,0,0,0,85.45203852653503,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,285,7,15,2.9.1+cu128,4.57.3
26,darknessOrientationOPTchen,1546,0.37744140625,0,0,0,0,0,35.072309494018555,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,286,7,15,2.9.1+cu128,4.57.3
27,In nutrientOPTproduct,4537,1.107666015625,0,1,0,0,0,113.08368229866028,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,287,7,15,2.9.1+cu128,4.57.3
28,In nutrientOPTquar,550,0.13427734375,0,0,0,0,0,12.083739757537842,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,288,7,15,2.9.1+cu128,4.57.3
