instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
12,instinct nutrientOPTbearing,875,0.213623046875,0,0,0,0,0,22.172473430633545,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,490,14,15,2.9.1+cu128,4.57.3
13,In nutrientRealbearing,2105,0.513916015625,0,0,0,0,0,47.985207080841064,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,491,14,15,2.9.1+cu128,4.57.3
14,In nutrient Himselfbearing,917,0.223876953125,0,0,0,0,0,20.194977045059204,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,492,14,15,2.9.1+cu128,4.57.3
15,In fringeOPTbearing,4314,1.05322265625,0,1,0,0,0,105.54973578453064,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,493,14,15,2.9.1+cu128,4.57.3
16,In nutrient pairedbearing,4487,1.095458984375,0,1,0,0,0,110.5861508846283,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,494,14,15,2.9.1+cu128,4.57.3
17,In nutrientandibearing,1156,0.2822265625,0,0,0,0,0,25.679723501205444,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,495,14,15,2.9.1+cu128,4.57.3
18,In DriveOPTbearing,187,0.045654296875,0,0,0,0,0,4.032229423522949,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,496,14,15,2.9.1+cu128,4.57.3
19,In nutrientOPT voiced,4864,1.1875,0,1,0,0,0,122.19790387153625,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,497,14,15,2.9.1+cu128,4.57.3
20,In nutrientCenturybearing,12369,3.019775390625,0,1,0,0,0,415.19759607315063,1,1,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,498,14,15,2.9.1+cu128,4.57.3
21,InfutOPTbearing,439,0.107177734375,0,0,0,0,0,9.6773099899292,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,499,14,15,2.9.1+cu128,4.57.3
