instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
70,indistinct nutrientOPTbearing,612,0.1494140625,0,0,0,0,0,13.840807437896729,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,330,9,15,2.9.1+cu128,4.57.3
71,In nutrientOPT instantly,64,0.015625,0,0,0,0,0,1.4074180126190186,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,331,9,15,2.9.1+cu128,4.57.3
72,In nutrientOPTriver,662,0.16162109375,0,0,0,0,0,14.63955807685852,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,332,9,15,2.9.1+cu128,4.57.3
73,In nutrientOPT go,4475,1.092529296875,0,1,0,0,0,111.37528252601624,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,333,9,15,2.9.1+cu128,4.57.3
74,In nutrientOPT perished,4153,1.013916015625,0,1,0,0,0,102.11691308021545,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,334,9,15,2.9.1+cu128,4.57.3
75,mono nutrientOPTbearing,903,0.220458984375,0,0,0,0,0,20.155192136764526,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,335,9,15,2.9.1+cu128,4.57.3
76,Pat nutrientOPTbearing,39,0.009521484375,0,0,0,0,0,0.8473803997039795,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,336,9,15,2.9.1+cu128,4.57.3
77,In nutrientOPTIslam,3789,0.925048828125,0,0,0,0,0,93.30212354660034,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,337,9,15,2.9.1+cu128,4.57.3
78,fungus nutrientOPTbearing,243,0.059326171875,0,0,0,0,0,5.32533597946167,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,338,9,15,2.9.1+cu128,4.57.3
79,In actualOPTbearing,12,0.0029296875,0,0,0,0,0,0.26506519317626953,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,339,9,15,2.9.1+cu128,4.57.3
80,In semisOPTbearing,343,0.083740234375,0,0,0,0,0,7.516171932220459,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,340,9,15,2.9.1+cu128,4.57.3
81,In copaOPTbearing,2282,0.55712890625,0,0,0,0,0,52.70720100402832,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,341,9,15,2.9.1+cu128,4.57.3
82,In nutrient	fArea,855,0.208740234375,0,0,0,0,0,19.05740237236023,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,342,9,15,2.9.1+cu128,4.57.3
83,In IOOPTbearing,303,0.073974609375,0,0,0,0,0,6.594231128692627,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,343,9,15,2.9.1+cu128,4.57.3
