instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
198,In nutrientOPTenorm,101,0.024658203125,0,0,0,0,0,2.530869245529175,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,458,13,15,2.9.1+cu128,4.57.3
199,In nutrientignorebearing,4350,1.06201171875,0,1,0,0,0,106.97857427597046,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,459,13,15,2.9.1+cu128,4.57.3
200,In nutrient processorbearing,12989,3.171142578125,0,1,0,0,0,445.6128783226013,1,1,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,460,13,15,2.9.1+cu128,4.57.3
201,In SportingOPTbearing,1037,0.253173828125,0,0,0,0,0,22.875414609909058,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,461,13,15,2.9.1+cu128,4.57.3
202,In nutrient tookbearing,4841,1.181884765625,0,1,0,0,0,121.67558407783508,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,462,13,15,2.9.1+cu128,4.57.3
203,In nutrientOPT specialized,11622,2.83740234375,0,1,0,0,0,378.7009437084198,1,1,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,463,13,15,2.9.1+cu128,4.57.3
204,In nutrient cleanly Correction,7115,1.737060546875,0,1,0,0,0,195.39897179603577,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,464,13,15,2.9.1+cu128,4.57.3
205,In nutrient donebearing,971,0.237060546875,0,0,0,0,0,21.406413555145264,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,465,13,15,2.9.1+cu128,4.57.3
206,In nutrient suckerbearing,5827,1.422607421875,0,1,0,0,0,151.96612691879272,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,466,13,15,2.9.1+cu128,4.57.3
207,In nutrientlivingbearing,577,0.140869140625,0,0,0,0,0,12.5901939868927,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,467,13,15,2.9.1+cu128,4.57.3
208,In nutrient deterbearing,4198,1.02490234375,0,1,0,0,0,102.59301781654358,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,468,13,15,2.9.1+cu128,4.57.3
209,In nutrientboardingbearing,4549,1.110595703125,0,1,0,0,0,112.6087121963501,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,469,13,15,2.9.1+cu128,4.57.3
210,shift nutrientOPTsoc,4551,1.111083984375,0,1,0,0,0,112.6465334892273,1,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,470,13,15,2.9.1+cu128,4.57.3
211,In DennisOPTbearing,2317,0.565673828125,0,0,0,0,0,53.635661125183105,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,471,13,15,2.9.1+cu128,4.57.3
212,recipient nutrientOPTbearing,455,0.111083984375,0,0,0,0,0,9.90929913520813,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,472,13,15,2.9.1+cu128,4.57.3
213,In regenerationOPTbearing,796,0.1943359375,0,0,0,0,0,17.52961754798889,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,473,13,15,2.9.1+cu128,4.57.3
214,justiceDynamicOPTbearing,1641,0.400634765625,0,0,0,0,0,37.1296820640564,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,474,13,15,2.9.1+cu128,4.57.3
