instruction_index,prompt,num_tokens_generated,OGF,stall,over_ctx_no_eos,TP@512,TP@1024,tail_len,latency_sec,success_ogf1,success_ogf2,success_ogf4,saw_eos,cap_hit,model,run_seed,chunk_index,num_chunks,torch_version,transformers_version
64,In nutrient Nealbearing,3810,0.93017578125,0,0,0,0,0,92.83668160438538,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,106,2,15,2.9.1+cu128,4.57.3
65,In nutrient volumebearing,555,0.135498046875,0,0,0,0,0,12.167531728744507,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,107,2,15,2.9.1+cu128,4.57.3
66,In finland volumebearing,232,0.056640625,0,0,0,0,0,5.048189163208008,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,108,2,15,2.9.1+cu128,4.57.3
67,In nutrient exemplarbearing,99,0.024169921875,0,0,0,0,0,2.145085096359253,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,109,2,15,2.9.1+cu128,4.57.3
68,In nutrient attach undoubtedly,235,0.057373046875,0,0,0,0,0,5.132744550704956,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,110,2,15,2.9.1+cu128,4.57.3
69,assume nutrientOPTbearing,405,0.098876953125,0,0,0,0,0,8.847453832626343,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,111,2,15,2.9.1+cu128,4.57.3
70,In nutrientacrebearing,3136,0.765625,0,0,0,0,0,74.73499751091003,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,112,2,15,2.9.1+cu128,4.57.3
71,assume nutrient attachbearing,317,0.077392578125,0,0,0,0,0,6.936157941818237,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,113,2,15,2.9.1+cu128,4.57.3
72,InpaqueOPTbearing,1513,0.369384765625,0,0,0,0,0,34.257253646850586,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,114,2,15,2.9.1+cu128,4.57.3
73,In nutrient attachobedience,647,0.157958984375,0,0,0,0,0,14.308937311172485,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,115,2,15,2.9.1+cu128,4.57.3
74,In Tristan attachobedience,801,0.195556640625,0,0,0,0,0,17.808968544006348,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,116,2,15,2.9.1+cu128,4.57.3
75,In nutrient upsettingbearing,1718,0.41943359375,0,0,0,0,0,39.210519552230835,0,0,0,0,0,deepseek-ai/deepseek-coder-7b-base-v1.5,117,2,15,2.9.1+cu128,4.57.3
